candidate_family,item_name,year,prefecture_code,prefecture_name,sex,age_group,value,missing_state,source_release_no,source_file
diabetes_metabolic,BMI,2013,02,青森県,male,65-69,23.7792561321785,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,70-74,23.6088786393773,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,male,total,24.0841591395343,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,40-44,22.3133696392104,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,45-49,22.5638232899023,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,50-54,22.6955876968144,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,55-59,22.820929299874,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,60-64,23.1035214835833,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,65-69,23.25831445401,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,70-74,23.444615802704,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,02,青森県,female,total,22.9005044332926,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,40-44,84.419809571536,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,45-49,84.865085078534,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,50-54,84.6828037478358,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,55-59,84.5843807995185,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,60-64,84.24381910659,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,65-69,84.0084880250418,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,70-74,83.9025850470882,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,male,total,84.439747037811,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,40-44,77.5257530325746,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,45-49,78.3653425680722,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,50-54,79.2226956415578,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,55-59,80.2039330352024,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,60-64,81.1470075508032,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,65-69,81.840942562592,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,70-74,82.7845463812437,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,02,青森県,female,total,80.2302236249967,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,40-44,97.9814845985524,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,45-49,100.943512851897,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,50-54,104.365964027953,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,55-59,106.699916083916,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,60-64,107.316318545717,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,65-69,105.857823913879,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,70-74,104.81605956933,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,male,total,103.860653633129,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,40-44,90.3599728322391,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,45-49,91.8942263979391,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,50-54,93.8714121699196,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,55-59,96.1467183882876,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,60-64,97.1398204240589,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,65-69,97.8364157021835,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,70-74,98.1334188582425,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,fasting_glucose,2013,02,青森県,female,total,95.2836274877957,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,40-44,5.48498462993615,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,45-49,5.55689337104907,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,50-54,5.66958873239437,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,55-59,5.75066405847833,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,60-64,5.76174579156421,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,65-69,5.75911993614049,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,70-74,5.73685797101449,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,male,total,5.68141712475542,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,40-44,5.32615319509098,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,45-49,5.3956443083774,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,50-54,5.51550396506149,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,55-59,5.61060590985971,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,60-64,5.6502558927413,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,65-69,5.68124070533248,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,70-74,5.67261508484209,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,HbA1C,2013,02,青森県,female,total,5.58227930949849,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,40-44,121.854834669339,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,45-49,123.883172473963,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,50-54,126.236536699583,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,55-59,128.251617433171,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,60-64,129.447119637329,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,65-69,130.701557723104,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,70-74,132.114564319339,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,male,total,126.987121104904,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,40-44,113.8045609258,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,45-49,117.305815689468,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,50-54,120.040400341755,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,55-59,122.233440293376,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,60-64,124.994781903845,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,65-69,127.501019483462,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,70-74,129.700366897676,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,systolic_BP,2013,02,青森県,female,total,122.450466730804,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,40-44,24.3230165607549,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,45-49,24.297439311687,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,50-54,24.12595816302,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,55-59,24.0133406467614,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,60-64,23.9189281756825,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,65-69,23.8372113022113,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,70-74,23.7576329331046,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,male,total,24.0600811537818,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,40-44,22.258714334823,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,45-49,22.5770865157617,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
